---------------------------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------
Vector/StdLowerBound/10/manual_time                             13255 ns        13280 ns         1056 items_per_second=309.009M/s
Vector/StdLowerBound/50/manual_time                             27234 ns        27250 ns          515 items_per_second=150.398M/s
Vector/StdLowerBound/100/manual_time                            31261 ns        31281 ns          452 items_per_second=131.028M/s
Vector/StdLowerBound/500/manual_time                            38112 ns        38133 ns          369 items_per_second=107.473M/s
Vector/StdLowerBound/1000/manual_time                           45176 ns        45192 ns          312 items_per_second=90.6679M/s
Vector/StdLowerBound/10000/manual_time                         101571 ns       101588 ns          136 items_per_second=40.3265M/s
Vector/StdLowerBound/100000/manual_time                        147054 ns       147074 ns           95 items_per_second=27.8537M/s
Deque/StdLowerBound/10/manual_time                              18070 ns        18089 ns          798 items_per_second=226.677M/s
Deque/StdLowerBound/50/manual_time                              31526 ns        31546 ns          449 items_per_second=129.925M/s
Deque/StdLowerBound/100/manual_time                             33755 ns        33775 ns          413 items_per_second=121.345M/s
Deque/StdLowerBound/500/manual_time                             70263 ns        70284 ns          197 items_per_second=58.2955M/s
Deque/StdLowerBound/1000/manual_time                            58372 ns        58391 ns          238 items_per_second=70.1708M/s
Deque/StdLowerBound/10000/manual_time                          124954 ns       124989 ns           88 items_per_second=32.7801M/s
Deque/StdLowerBound/100000/manual_time                         330862 ns       330976 ns           41 items_per_second=12.3798M/s
VecDeque/StdLowerBound/10/manual_time                           16816 ns        16835 ns          807 items_per_second=243.584M/s
VecDeque/StdLowerBound/50/manual_time                           30708 ns        30710 ns          459 items_per_second=133.384M/s
VecDeque/StdLowerBound/100/manual_time                          37941 ns        37962 ns          368 items_per_second=107.957M/s
VecDeque/StdLowerBound/500/manual_time                          46184 ns        46205 ns          303 items_per_second=88.6882M/s
VecDeque/StdLowerBound/1000/manual_time                         54558 ns        54576 ns          257 items_per_second=75.0756M/s
VecDeque/StdLowerBound/10000/manual_time                       126733 ns       126755 ns          110 items_per_second=32.32M/s
VecDeque/StdLowerBound/100000/manual_time                      187510 ns       187541 ns           74 items_per_second=21.8442M/s
BlockOrderBook/StdLowerBound/10/manual_time                     67027 ns        67050 ns          199 items_per_second=61.1093M/s
BlockOrderBook/StdLowerBound/50/manual_time                    272607 ns       272654 ns           52 items_per_second=15.0253M/s
BlockOrderBook/StdLowerBound/100/manual_time                   569487 ns       569520 ns           25 items_per_second=7.19244M/s
BlockOrderBook/StdLowerBound/500/manual_time                  3007509 ns      3007600 ns            5 items_per_second=1.36192M/s
BlockOrderBook/StdLowerBound/1000/manual_time                 5960125 ns      5960000 ns            2 items_per_second=687.234k/s
BlockOrderBook/StdLowerBound/10000/manual_time               60926125 ns     60926000 ns            1 items_per_second=67.229k/s
BlockOrderBook/StdLowerBound/100000/manual_time             599839000 ns    599834000 ns            1 items_per_second=6.8285k/s
Vector/BulkCopy/Scalar/10/manual_time                            23.6 ns         55.5 ns       592317 selected_ratio=0.2
Vector/BulkCopy/Scalar/50/manual_time                             122 ns          187 ns       113617 selected_ratio=0.38
Vector/BulkCopy/Scalar/100/manual_time                            177 ns          229 ns        78203 selected_ratio=0.38
Vector/BulkCopy/Scalar/500/manual_time                            410 ns          482 ns        34761 selected_ratio=0.27
Vector/BulkCopy/Scalar/1000/manual_time                           690 ns          774 ns        20592 selected_ratio=0.292
Vector/BulkCopy/Scalar/10000/manual_time                         5640 ns         7224 ns         2464 selected_ratio=0.2975
Vector/BulkCopy/Scalar/100000/manual_time                       75736 ns        93719 ns          192 selected_ratio=0.29995
Vector/BulkCopy/Contiguous/10/manual_time                        18.4 ns         46.1 ns       772911 selected_ratio=0.1
Vector/BulkCopy/Contiguous/50/manual_time                        71.8 ns          120 ns       196204 selected_ratio=0.34
Vector/BulkCopy/Contiguous/100/manual_time                        126 ns          188 ns       111815 selected_ratio=0.33
Vector/BulkCopy/Contiguous/500/manual_time                        609 ns          669 ns        23029 selected_ratio=0.27
Vector/BulkCopy/Contiguous/1000/manual_time                      1246 ns         1323 ns        11369 selected_ratio=0.288
Vector/BulkCopy/Contiguous/10000/manual_time                     9933 ns        11361 ns         1457 selected_ratio=0.2993
Vector/BulkCopy/Contiguous/100000/manual_time                   49239 ns        66130 ns          285 selected_ratio=0.29992
Deque/BulkCopy/Scalar/10/manual_time                             25.7 ns         58.6 ns       539950 selected_ratio=0.2
Deque/BulkCopy/Scalar/50/manual_time                              131 ns          194 ns       106021 selected_ratio=0.4
Deque/BulkCopy/Scalar/100/manual_time                             202 ns          254 ns        69933 selected_ratio=0.35
Deque/BulkCopy/Scalar/500/manual_time                             452 ns          538 ns        31355 selected_ratio=0.256
Deque/BulkCopy/Scalar/1000/manual_time                            822 ns          916 ns        16950 selected_ratio=0.295
Deque/BulkCopy/Scalar/10000/manual_time                          5927 ns         6762 ns         2360 selected_ratio=0.2975
Deque/BulkCopy/Scalar/100000/manual_time                        53244 ns        62857 ns          258 selected_ratio=0.29997
Deque/BulkCopy/Contiguous/10/manual_time                         18.9 ns         51.0 ns       741602 selected_ratio=0.1
Deque/BulkCopy/Contiguous/50/manual_time                         35.1 ns         91.1 ns       393919 selected_ratio=0.34
Deque/BulkCopy/Contiguous/100/manual_time                        55.0 ns          119 ns       240839 selected_ratio=0.34
Deque/BulkCopy/Contiguous/500/manual_time                         189 ns          258 ns        74057 selected_ratio=0.262
Deque/BulkCopy/Contiguous/1000/manual_time                        366 ns          454 ns        37994 selected_ratio=0.293
Deque/BulkCopy/Contiguous/10000/manual_time                      4407 ns         5147 ns         2969 selected_ratio=0.2984
Deque/BulkCopy/Contiguous/100000/manual_time                    39939 ns        48991 ns          351 selected_ratio=0.29995
VecDeque/BulkCopy/Scalar/10/manual_time                          23.8 ns         59.4 ns       589811 selected_ratio=0.2
VecDeque/BulkCopy/Scalar/50/manual_time                           125 ns          197 ns       111160 selected_ratio=0.38
VecDeque/BulkCopy/Scalar/100/manual_time                          188 ns          250 ns        72722 selected_ratio=0.34
VecDeque/BulkCopy/Scalar/500/manual_time                          470 ns          574 ns        29944 selected_ratio=0.27
VecDeque/BulkCopy/Scalar/1000/manual_time                         831 ns          965 ns        16950 selected_ratio=0.295
VecDeque/BulkCopy/Scalar/10000/manual_time                       6372 ns         7881 ns         2197 selected_ratio=0.2969
VecDeque/BulkCopy/Scalar/100000/manual_time                     75476 ns        94516 ns          186 selected_ratio=0.29991
VecDeque/BulkCopy/Contiguous/10/manual_time                      21.0 ns         51.1 ns       666557 selected_ratio=0.1
VecDeque/BulkCopy/Contiguous/50/manual_time                       114 ns          168 ns       124183 selected_ratio=0.36
VecDeque/BulkCopy/Contiguous/100/manual_time                      204 ns          275 ns        67692 selected_ratio=0.33
VecDeque/BulkCopy/Contiguous/500/manual_time                      597 ns          683 ns        23773 selected_ratio=0.258
VecDeque/BulkCopy/Contiguous/1000/manual_time                    1199 ns         1314 ns        13205 selected_ratio=0.284
VecDeque/BulkCopy/Contiguous/10000/manual_time                  10648 ns        12111 ns         1356 selected_ratio=0.2987
VecDeque/BulkCopy/Contiguous/100000/manual_time                 57871 ns        76539 ns          245 selected_ratio=0.29995
BlockOrderBook/BulkCopy/Scalar/10/manual_time                    69.5 ns          138 ns       195207 selected_ratio=0.2
BlockOrderBook/BulkCopy/Scalar/50/manual_time                     227 ns          304 ns        61482 selected_ratio=0.24
BlockOrderBook/BulkCopy/Scalar/100/manual_time                    336 ns          419 ns        41883 selected_ratio=0.36
BlockOrderBook/BulkCopy/Scalar/500/manual_time                   1179 ns         1256 ns        10000 selected_ratio=0.288
BlockOrderBook/BulkCopy/Scalar/1000/manual_time                  2058 ns         2145 ns         9207 selected_ratio=0.281
BlockOrderBook/BulkCopy/Scalar/10000/manual_time                10048 ns        10159 ns         1401 selected_ratio=0.2989
BlockOrderBook/BulkCopy/Scalar/100000/manual_time              103346 ns       103746 ns          138 selected_ratio=0.29994
BlockOrderBook/BulkCopy/Contiguous/10/manual_time                60.3 ns          129 ns       232185 selected_ratio=0.6
BlockOrderBook/BulkCopy/Contiguous/50/manual_time                 116 ns          177 ns       120500 selected_ratio=1.42
BlockOrderBook/BulkCopy/Contiguous/100/manual_time                174 ns          241 ns        83219 selected_ratio=1.27
BlockOrderBook/BulkCopy/Contiguous/500/manual_time                399 ns          469 ns        35706 selected_ratio=0.77
BlockOrderBook/BulkCopy/Contiguous/1000/manual_time               752 ns          833 ns        18950 selected_ratio=0.874
BlockOrderBook/BulkCopy/Contiguous/10000/manual_time             3614 ns         3730 ns         4647 selected_ratio=0.4466
BlockOrderBook/BulkCopy/Contiguous/100000/manual_time           30151 ns        30536 ns          476 selected_ratio=0.30159
Vector/BulkCopy/FixedSlice/10/10/manual_time                     17.4 ns         43.2 ns       805876 selected_ratio=1
Vector/BulkCopy/FixedSlice/10/50/manual_time                     17.5 ns         42.8 ns       789057 selected_ratio=0.2
Vector/BulkCopy/FixedSlice/10/100/manual_time                    17.8 ns         42.6 ns       809612 selected_ratio=0.1
Vector/BulkCopy/FixedSlice/10/500/manual_time                    50.5 ns         75.3 ns       276817 selected_ratio=0.02
Vector/BulkCopy/FixedSlice/10/1000/manual_time                    105 ns          130 ns       130852 selected_ratio=0.01
Vector/BulkCopy/FixedSlice/10/10000/manual_time                   743 ns          768 ns        18837 selected_ratio=1m
Vector/BulkCopy/FixedSlice/10/100000/manual_time                 7584 ns         7611 ns         1856 selected_ratio=100u
Vector/BulkCopy/FixedSlice/50/50/manual_time                     29.2 ns         54.5 ns       482294 selected_ratio=1
Vector/BulkCopy/FixedSlice/50/100/manual_time                    43.1 ns         68.7 ns       329258 selected_ratio=0.5
Vector/BulkCopy/FixedSlice/50/500/manual_time                    80.8 ns          105 ns       173758 selected_ratio=0.1
Vector/BulkCopy/FixedSlice/50/1000/manual_time                    135 ns          160 ns       102715 selected_ratio=0.05
Vector/BulkCopy/FixedSlice/50/10000/manual_time                   784 ns          809 ns        17755 selected_ratio=5m
Vector/BulkCopy/FixedSlice/50/100000/manual_time                 7481 ns         7506 ns         1880 selected_ratio=500u
Vector/BulkCopy/FixedSlice/100/100/manual_time                   63.8 ns         88.9 ns       217909 selected_ratio=1
Vector/BulkCopy/FixedSlice/100/500/manual_time                    115 ns          139 ns       125486 selected_ratio=0.2
Vector/BulkCopy/FixedSlice/100/1000/manual_time                   166 ns          191 ns        83583 selected_ratio=0.1
Vector/BulkCopy/FixedSlice/100/10000/manual_time                  817 ns          842 ns        17096 selected_ratio=0.01
Vector/BulkCopy/FixedSlice/100/100000/manual_time                7467 ns         7495 ns         1873 selected_ratio=1m
Vector/BulkCopy/FixedSlice/500/500/manual_time                    308 ns          334 ns        45312 selected_ratio=1
Vector/BulkCopy/FixedSlice/500/1000/manual_time                   408 ns          433 ns        34149 selected_ratio=0.5
Vector/BulkCopy/FixedSlice/500/10000/manual_time                 1070 ns         1095 ns        13121 selected_ratio=0.05
Vector/BulkCopy/FixedSlice/500/100000/manual_time                7517 ns         7550 ns         1797 selected_ratio=5m
Vector/BulkCopy/FixedSlice/1000/1000/manual_time                  571 ns          596 ns        24574 selected_ratio=1
Vector/BulkCopy/FixedSlice/1000/10000/manual_time                1800 ns         1833 ns         5793 selected_ratio=0.1
